PL Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
EM_ITER=4 | GAMMA=1.5
OmegaTransformer: 275,010 parameters

============================================================
EM Iteration 1/4
Iter 1: uniform weights (standard BCE)
  [EM1] Ep 050 | Ω:0.675 A:0.635 A@.55:0.538 Score:0.3097 | LR:0.000063 | ni:11/25
  [EM1] Ep 051 | Ω:0.675 A:0.634 A@.55:0.537 Score:0.3086 | LR:0.000063 | ni:12/25
  [EM1] Ep 052 | Ω:0.674 A:0.635 A@.55:0.541 Score:0.3090 | LR:0.000063 | ni:13/25
  [EM1] Ep 053 | Ω:0.675 A:0.635 A@.55:0.542 Score:0.3102 | LR:0.000063 | ni:14/25
  [EM1] Ep 054 | Ω:0.676 A:0.636 A@.55:0.542 Score:0.3117 | LR:0.000063 | ni:15/25
  [EM1] Ep 055 | Ω:0.677 A:0.635 A@.55:0.540 Score:0.3124 | LR:0.000063 | ni:0/25
  [EM1] Ep 056 | Ω:0.675 A:0.636 A@.55:0.541 Score:0.3110 | LR:0.000063 | ni:0/25
  [EM1] Ep 057 | Ω:0.678 A:0.634 A@.55:0.538 Score:0.3122 | LR:0.000063 | ni:1/25
  [EM1] Ep 058 | Ω:0.677 A:0.634 A@.55:0.539 Score:0.3115 | LR:0.000063 | ni:2/25
  [EM1] Ep 059 | Ω:0.676 A:0.634 A@.55:0.539 Score:0.3104 | LR:0.000063 | ni:3/25
  [EM1] Ep 060 | Ω:0.676 A:0.634 A@.55:0.540 Score:0.3096 | LR:0.000063 | ni:4/25
  [EM1] Ep 061 | Ω:0.675 A:0.634 A@.55:0.542 Score:0.3094 | LR:0.000031 | ni:5/25
  [EM1] Ep 062 | Ω:0.675 A:0.634 A@.55:0.542 Score:0.3097 | LR:0.000031 | ni:6/25
  [EM1] Ep 063 | Ω:0.677 A:0.632 A@.55:0.539 Score:0.3090 | LR:0.000031 | ni:7/25
  [EM1] Ep 064 | Ω:0.678 A:0.632 A@.55:0.540 Score:0.3099 | LR:0.000031 | ni:8/25
  [EM1] Ep 065 | Ω:0.675 A:0.634 A@.55:0.542 Score:0.3091 | LR:0.000031 | ni:9/25
  [EM1] Ep 066 | Ω:0.676 A:0.633 A@.55:0.541 Score:0.3092 | LR:0.000031 | ni:10/25
  [EM1] Ep 067 | Ω:0.675 A:0.634 A@.55:0.543 Score:0.3092 | LR:0.000016 | ni:11/25
  [EM1] Ep 068 | Ω:0.675 A:0.634 A@.55:0.543 Score:0.3088 | LR:0.000016 | ni:12/25
  [EM1] Ep 069 | Ω:0.677 A:0.633 A@.55:0.542 Score:0.3100 | LR:0.000016 | ni:13/25
  [EM1] Ep 070 | Ω:0.677 A:0.632 A@.55:0.541 Score:0.3098 | LR:0.000016 | ni:14/25
  [EM1] Ep 071 | Ω:0.678 A:0.632 A@.55:0.540 Score:0.3097 | LR:0.000016 | ni:15/25
  [EM1] Ep 072 | Ω:0.676 A:0.633 A@.55:0.543 Score:0.3094 | LR:0.000016 | ni:16/25
  [EM1] Ep 073 | Ω:0.676 A:0.633 A@.55:0.543 Score:0.3092 | LR:0.000008 | ni:17/25
  [EM1] Ep 074 | Ω:0.676 A:0.633 A@.55:0.543 Score:0.3089 | LR:0.000008 | ni:18/25
  [EM1] Ep 075 | Ω:0.677 A:0.633 A@.55:0.542 Score:0.3094 | LR:0.000008 | ni:19/25
  [EM1] Ep 076 | Ω:0.676 A:0.633 A@.55:0.542 Score:0.3088 | LR:0.000008 | ni:20/25
  [EM1] Ep 077 | Ω:0.678 A:0.631 A@.55:0.540 Score:0.3092 | LR:0.000008 | ni:21/25
  [EM1] Ep 078 | Ω:0.676 A:0.633 A@.55:0.542 Score:0.3093 | LR:0.000008 | ni:22/25
