GRL Run 13 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
Moment adversary: 6 targets (n_kaons + std of 5 features)
OmegaTransformerGRL: 283,791 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 023 | α=0.213 λ=2.0000 | cls=1.0021 adv_ce=1.5470/1.6094 adv_mse=0.9558 | O@A=0.90: 0.555 (t=0.10, A=0.900) | Argmax: O=0.845 A=0.655 Score=0.4999 | LR: 0.000500 | [CONSTRAINED] No-improve: 0/25
Epoch 024 | α=0.239 λ=2.0000 | cls=1.0354 adv_ce=1.6620/1.6094 adv_mse=1.0558 | O@A=0.90: 0.450 (t=0.18, A=0.900) | Argmax: O=0.987 A=0.166 Score=0.1531 | LR: 0.000500 | [CONSTRAINED] No-improve: 0/25
Epoch 025 | α=0.264 λ=2.0000 | cls=1.0065 adv_ce=1.6044/1.6094 adv_mse=1.0091 | O@A=0.90: 0.568 (t=0.25, A=0.900) | Argmax: O=0.994 A=0.046 Score=0.0397 | LR: 0.000500 | [CONSTRAINED] No-improve: 1/25
Epoch 026 | α=0.289 λ=2.0000 | cls=1.0052 adv_ce=1.6183/1.6094 adv_mse=1.0137 | O@A=0.90: 0.586 (t=0.14, A=0.901) | Argmax: O=0.998 A=0.050 Score=0.0478 | LR: 0.000500 | [CONSTRAINED] No-improve: 0/25
Epoch 027 | α=0.313 λ=2.0000 | cls=1.0104 adv_ce=1.6107/1.6094 adv_mse=1.0074 | O@A=0.90: 0.560 (t=0.16, A=0.901) | Argmax: O=0.998 A=0.064 Score=0.0620 | LR: 0.000500 | [CONSTRAINED] No-improve: 0/25
Epoch 028 | α=0.338 λ=2.0000 | cls=1.0079 adv_ce=1.6154/1.6094 adv_mse=1.0129 | O@A=0.90: 0.365 (t=0.14, A=0.901) | Argmax: O=0.989 A=0.067 Score=0.0561 | LR: 0.000500 | [CONSTRAINED] No-improve: 1/25
Epoch 029 | α=0.361 λ=2.0000 | cls=1.0054 adv_ce=1.6102/1.6094 adv_mse=1.0164 | O@A=0.90: 0.550 (t=0.27, A=0.901) | Argmax: O=0.924 A=0.312 Score=0.2356 | LR: 0.000500 | [CONSTRAINED] No-improve: 2/25
Epoch 030 | α=0.385 λ=2.0000 | cls=0.9893 adv_ce=1.6125/1.6094 adv_mse=1.0067 | O@A=0.90: 0.622 (t=0.15, A=0.900) | Argmax: O=0.998 A=0.061 Score=0.0589 | LR: 0.000500 | [CONSTRAINED] No-improve: 3/25
Epoch 031 | α=0.407 λ=2.0000 | cls=0.9927 adv_ce=1.6152/1.6094 adv_mse=1.0196 | O@A=0.90: 0.591 (t=0.31, A=0.900) | Argmax: O=0.983 A=0.225 Score=0.2074 | LR: 0.000500 | [CONSTRAINED] No-improve: 0/25
Epoch 032 | α=0.430 λ=2.0000 | cls=0.9871 adv_ce=1.5989/1.6094 adv_mse=1.0087 | O@A=0.90: 0.255 (t=0.27, A=0.902) | Argmax: O=0.834 A=0.208 Score=0.0421 | LR: 0.000500 | [CONSTRAINED] No-improve: 1/25
