Consistency Run 1 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
DROP_START=0.1 → DROP_MAX=0.4 over 40 epochs | CONS_LAMBDA=0.3
OmegaTransformer: 275,010 parameters
Starting consistency training...

Epoch 030 | drop=0.33 | cls=1.2462 cons=0.0115 | Omega Rec: 0.676 | Anti Rec: 0.628 | A@0.55: 0.525 | Score: 0.3038 | LR: 0.000500 | No-improve: 0/25
Epoch 031 | drop=0.33 | cls=1.2466 cons=0.0115 | Omega Rec: 0.676 | Anti Rec: 0.630 | A@0.55: 0.527 | Score: 0.3053 | LR: 0.000500 | No-improve: 0/25
Epoch 032 | drop=0.34 | cls=1.2449 cons=0.0122 | Omega Rec: 0.677 | Anti Rec: 0.628 | A@0.55: 0.524 | Score: 0.3046 | LR: 0.000500 | No-improve: 0/25
Epoch 033 | drop=0.35 | cls=1.2467 cons=0.0123 | Omega Rec: 0.676 | Anti Rec: 0.629 | A@0.55: 0.527 | Score: 0.3054 | LR: 0.000500 | No-improve: 1/25
Epoch 034 | drop=0.35 | cls=1.2446 cons=0.0127 | Omega Rec: 0.673 | Anti Rec: 0.631 | A@0.55: 0.529 | Score: 0.3041 | LR: 0.000500 | No-improve: 0/25
Epoch 035 | drop=0.36 | cls=1.2448 cons=0.0127 | Omega Rec: 0.675 | Anti Rec: 0.629 | A@0.55: 0.526 | Score: 0.3037 | LR: 0.000500 | No-improve: 1/25
Epoch 036 | drop=0.37 | cls=1.2443 cons=0.0133 | Omega Rec: 0.677 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3050 | LR: 0.000500 | No-improve: 2/25
Epoch 037 | drop=0.38 | cls=1.2449 cons=0.0134 | Omega Rec: 0.678 | Anti Rec: 0.627 | A@0.55: 0.526 | Score: 0.3050 | LR: 0.000500 | No-improve: 3/25
Epoch 038 | drop=0.39 | cls=1.2441 cons=0.0139 | Omega Rec: 0.678 | Anti Rec: 0.626 | A@0.55: 0.527 | Score: 0.3038 | LR: 0.000500 | No-improve: 4/25
Epoch 039 | drop=0.39 | cls=1.2445 cons=0.0141 | Omega Rec: 0.679 | Anti Rec: 0.626 | A@0.55: 0.525 | Score: 0.3052 | LR: 0.000250 | No-improve: 5/25
Epoch 040 | drop=0.40 | cls=1.2367 cons=0.0152 | Omega Rec: 0.680 | Anti Rec: 0.624 | A@0.55: 0.524 | Score: 0.3047 | LR: 0.000250 | No-improve: 6/25
Epoch 041 | drop=0.40 | cls=1.2368 cons=0.0155 | Omega Rec: 0.677 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3049 | LR: 0.000250 | No-improve: 7/25
Epoch 042 | drop=0.40 | cls=1.2352 cons=0.0155 | Omega Rec: 0.677 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3056 | LR: 0.000250 | No-improve: 8/25
Epoch 043 | drop=0.40 | cls=1.2345 cons=0.0156 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3066 | LR: 0.000250 | No-improve: 0/25
Epoch 044 | drop=0.40 | cls=1.2357 cons=0.0155 | Omega Rec: 0.677 | Anti Rec: 0.628 | A@0.55: 0.528 | Score: 0.3058 | LR: 0.000250 | No-improve: 0/25
Epoch 045 | drop=0.40 | cls=1.2354 cons=0.0155 | Omega Rec: 0.679 | Anti Rec: 0.629 | A@0.55: 0.525 | Score: 0.3073 | LR: 0.000250 | No-improve: 1/25
Epoch 046 | drop=0.40 | cls=1.2351 cons=0.0154 | Omega Rec: 0.678 | Anti Rec: 0.631 | A@0.55: 0.526 | Score: 0.3093 | LR: 0.000250 | No-improve: 0/25
Epoch 047 | drop=0.40 | cls=1.2332 cons=0.0156 | Omega Rec: 0.678 | Anti Rec: 0.629 | A@0.55: 0.526 | Score: 0.3070 | LR: 0.000250 | No-improve: 0/25
Epoch 048 | drop=0.40 | cls=1.2335 cons=0.0157 | Omega Rec: 0.680 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3077 | LR: 0.000250 | No-improve: 1/25
Epoch 049 | drop=0.40 | cls=1.2325 cons=0.0158 | Omega Rec: 0.680 | Anti Rec: 0.628 | A@0.55: 0.527 | Score: 0.3076 | LR: 0.000250 | No-improve: 2/25
Epoch 050 | drop=0.40 | cls=1.2318 cons=0.0158 | Omega Rec: 0.681 | Anti Rec: 0.626 | A@0.55: 0.526 | Score: 0.3068 | LR: 0.000250 | No-improve: 3/25
