Run 20 | features=['k_star', 'cos_theta_star'] | IN_CHANNELS=2 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE
EMA decay: 0.999
Model parameters: 274,114
Starting training...

Epoch 041 | Omega Rec: 0.565 | Anti Rec: 0.588 | A@0.55: 0.426 | Score: 0.1525 | LR: 0.000063 | No-improve: 15/25
Epoch 042 | Omega Rec: 0.564 | Anti Rec: 0.591 | A@0.55: 0.428 | Score: 0.1547 | LR: 0.000063 | No-improve: 16/25
Epoch 043 | Omega Rec: 0.565 | Anti Rec: 0.589 | A@0.55: 0.425 | Score: 0.1537 | LR: 0.000031 | No-improve: 17/25
Epoch 044 | Omega Rec: 0.566 | Anti Rec: 0.588 | A@0.55: 0.422 | Score: 0.1544 | LR: 0.000031 | No-improve: 18/25
Epoch 045 | Omega Rec: 0.565 | Anti Rec: 0.589 | A@0.55: 0.424 | Score: 0.1539 | LR: 0.000031 | No-improve: 19/25
Epoch 046 | Omega Rec: 0.565 | Anti Rec: 0.588 | A@0.55: 0.426 | Score: 0.1532 | LR: 0.000031 | No-improve: 20/25
Epoch 047 | Omega Rec: 0.563 | Anti Rec: 0.590 | A@0.55: 0.428 | Score: 0.1535 | LR: 0.000031 | No-improve: 21/25
Epoch 048 | Omega Rec: 0.564 | Anti Rec: 0.589 | A@0.55: 0.426 | Score: 0.1528 | LR: 0.000031 | No-improve: 22/25
Epoch 049 | Omega Rec: 0.563 | Anti Rec: 0.591 | A@0.55: 0.427 | Score: 0.1538 | LR: 0.000016 | No-improve: 23/25
Epoch 050 | Omega Rec: 0.562 | Anti Rec: 0.592 | A@0.55: 0.428 | Score: 0.1533 | LR: 0.000016 | No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Score: 0.1565 | Anti (argmax): 0.5983 | A@0.55: 0.4224  →  saved to models/omega_transformer.pth
Log saved to logs/train_run20.log
