Run 25 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed', 'o_y_abs'] | IN_CHANNELS=7 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE | target Anti recall: 0.90
EMA decay: 0.999
Model parameters: 274,754
Starting training...

Epoch 038 | O@A=0.90: 0.332 (t=0.31, A=0.900) | Argmax: O=0.710 A=0.629 Score=0.3394 | LR: 0.000500 | No-improve: 0/25
Epoch 039 | O@A=0.90: 0.329 (t=0.30, A=0.900) | Argmax: O=0.707 A=0.632 Score=0.3388 | LR: 0.000500 | No-improve: 0/25
Epoch 040 | O@A=0.90: 0.331 (t=0.30, A=0.900) | Argmax: O=0.715 A=0.625 Score=0.3401 | LR: 0.000500 | No-improve: 1/25
Epoch 041 | O@A=0.90: 0.335 (t=0.30, A=0.899) | Argmax: O=0.716 A=0.623 Score=0.3386 | LR: 0.000500 | No-improve: 2/25
Epoch 042 | O@A=0.90: 0.332 (t=0.30, A=0.899) | Argmax: O=0.719 A=0.621 Score=0.3394 | LR: 0.000500 | No-improve: 0/25
Epoch 043 | O@A=0.90: 0.333 (t=0.30, A=0.900) | Argmax: O=0.718 A=0.620 Score=0.3383 | LR: 0.000500 | No-improve: 1/25
Epoch 044 | O@A=0.90: 0.334 (t=0.30, A=0.900) | Argmax: O=0.720 A=0.620 Score=0.3392 | LR: 0.000500 | No-improve: 2/25
Epoch 045 | O@A=0.90: 0.331 (t=0.30, A=0.900) | Argmax: O=0.719 A=0.621 Score=0.3401 | LR: 0.000500 | No-improve: 3/25
Epoch 046 | O@A=0.90: 0.333 (t=0.30, A=0.900) | Argmax: O=0.714 A=0.626 Score=0.3398 | LR: 0.000500 | No-improve: 4/25
Epoch 047 | O@A=0.90: 0.331 (t=0.30, A=0.900) | Argmax: O=0.715 A=0.625 Score=0.3396 | LR: 0.000250 | No-improve: 5/25
Epoch 048 | O@A=0.90: 0.333 (t=0.29, A=0.900) | Argmax: O=0.717 A=0.623 Score=0.3404 | LR: 0.000250 | No-improve: 6/25
Epoch 049 | O@A=0.90: 0.329 (t=0.29, A=0.900) | Argmax: O=0.717 A=0.624 Score=0.3410 | LR: 0.000250 | No-improve: 7/25
Epoch 050 | O@A=0.90: 0.330 (t=0.29, A=0.900) | Argmax: O=0.719 A=0.623 Score=0.3416 | LR: 0.000250 | No-improve: 8/25
Epoch 051 | O@A=0.90: 0.333 (t=0.29, A=0.900) | Argmax: O=0.718 A=0.624 Score=0.3414 | LR: 0.000250 | No-improve: 9/25
Epoch 052 | O@A=0.90: 0.332 (t=0.29, A=0.900) | Argmax: O=0.717 A=0.625 Score=0.3418 | LR: 0.000250 | No-improve: 10/25
Epoch 053 | O@A=0.90: 0.332 (t=0.29, A=0.900) | Argmax: O=0.718 A=0.622 Score=0.3405 | LR: 0.000125 | No-improve: 11/25
Epoch 054 | O@A=0.90: 0.331 (t=0.28, A=0.900) | Argmax: O=0.719 A=0.622 Score=0.3408 | LR: 0.000125 | No-improve: 12/25
Epoch 055 | O@A=0.90: 0.334 (t=0.28, A=0.900) | Argmax: O=0.722 A=0.618 Score=0.3401 | LR: 0.000125 | No-improve: 13/25
Epoch 056 | O@A=0.90: 0.331 (t=0.28, A=0.900) | Argmax: O=0.721 A=0.620 Score=0.3408 | LR: 0.000125 | No-improve: 14/25
Epoch 057 | O@A=0.90: 0.332 (t=0.28, A=0.900) | Argmax: O=0.719 A=0.621 Score=0.3394 | LR: 0.000125 | No-improve: 15/25
