Run 18 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9 | D_MODEL=128
Dataset: 110758 Omega, 52934 Anti-Omega
Loss: per-class-mean BCE
EMA decay: 0.999
Model parameters: 275,010
Starting training...

Epoch 040 | Omega Rec: 0.670 | Anti Rec: 0.639 | A@0.55: 0.544 | Score: 0.3090 | LR: 0.000250 | No-improve: 1/25
Epoch 041 | Omega Rec: 0.673 | Anti Rec: 0.636 | A@0.55: 0.541 | Score: 0.3091 | LR: 0.000250 | No-improve: 2/25
Epoch 042 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.541 | Score: 0.3090 | LR: 0.000250 | No-improve: 3/25
Epoch 043 | Omega Rec: 0.677 | Anti Rec: 0.633 | A@0.55: 0.539 | Score: 0.3092 | LR: 0.000250 | No-improve: 4/25
Epoch 044 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.540 | Score: 0.3091 | LR: 0.000125 | No-improve: 5/25
Epoch 045 | Omega Rec: 0.674 | Anti Rec: 0.635 | A@0.55: 0.541 | Score: 0.3093 | LR: 0.000125 | No-improve: 6/25
Epoch 046 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.540 | Score: 0.3091 | LR: 0.000125 | No-improve: 7/25
Epoch 047 | Omega Rec: 0.673 | Anti Rec: 0.635 | A@0.55: 0.542 | Score: 0.3079 | LR: 0.000125 | No-improve: 8/25
Epoch 048 | Omega Rec: 0.673 | Anti Rec: 0.636 | A@0.55: 0.542 | Score: 0.3095 | LR: 0.000125 | No-improve: 9/25
Epoch 049 | Omega Rec: 0.673 | Anti Rec: 0.636 | A@0.55: 0.543 | Score: 0.3089 | LR: 0.000125 | No-improve: 10/25
Epoch 050 | Omega Rec: 0.675 | Anti Rec: 0.635 | A@0.55: 0.538 | Score: 0.3097 | LR: 0.000063 | No-improve: 11/25
Epoch 051 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.537 | Score: 0.3086 | LR: 0.000063 | No-improve: 12/25
Epoch 052 | Omega Rec: 0.674 | Anti Rec: 0.635 | A@0.55: 0.541 | Score: 0.3090 | LR: 0.000063 | No-improve: 13/25
Epoch 053 | Omega Rec: 0.675 | Anti Rec: 0.635 | A@0.55: 0.542 | Score: 0.3102 | LR: 0.000063 | No-improve: 14/25
Epoch 054 | Omega Rec: 0.676 | Anti Rec: 0.636 | A@0.55: 0.542 | Score: 0.3117 | LR: 0.000063 | No-improve: 15/25
Epoch 055 | Omega Rec: 0.677 | Anti Rec: 0.635 | A@0.55: 0.540 | Score: 0.3124 | LR: 0.000063 | No-improve: 0/25
Epoch 056 | Omega Rec: 0.675 | Anti Rec: 0.636 | A@0.55: 0.541 | Score: 0.3110 | LR: 0.000063 | No-improve: 0/25
Epoch 057 | Omega Rec: 0.678 | Anti Rec: 0.634 | A@0.55: 0.538 | Score: 0.3122 | LR: 0.000063 | No-improve: 1/25
Epoch 058 | Omega Rec: 0.677 | Anti Rec: 0.634 | A@0.55: 0.539 | Score: 0.3115 | LR: 0.000063 | No-improve: 2/25
Epoch 059 | Omega Rec: 0.676 | Anti Rec: 0.634 | A@0.55: 0.539 | Score: 0.3104 | LR: 0.000063 | No-improve: 3/25
Epoch 060 | Omega Rec: 0.676 | Anti Rec: 0.634 | A@0.55: 0.540 | Score: 0.3096 | LR: 0.000063 | No-improve: 4/25
Epoch 061 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.542 | Score: 0.3094 | LR: 0.000031 | No-improve: 5/25
Epoch 062 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.542 | Score: 0.3097 | LR: 0.000031 | No-improve: 6/25
Epoch 063 | Omega Rec: 0.677 | Anti Rec: 0.632 | A@0.55: 0.539 | Score: 0.3090 | LR: 0.000031 | No-improve: 7/25
Epoch 064 | Omega Rec: 0.678 | Anti Rec: 0.632 | A@0.55: 0.540 | Score: 0.3099 | LR: 0.000031 | No-improve: 8/25
Epoch 065 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.542 | Score: 0.3091 | LR: 0.000031 | No-improve: 9/25
Epoch 066 | Omega Rec: 0.676 | Anti Rec: 0.633 | A@0.55: 0.541 | Score: 0.3092 | LR: 0.000031 | No-improve: 10/25
Epoch 067 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.543 | Score: 0.3092 | LR: 0.000016 | No-improve: 11/25
Epoch 068 | Omega Rec: 0.675 | Anti Rec: 0.634 | A@0.55: 0.543 | Score: 0.3088 | LR: 0.000016 | No-improve: 12/25
Epoch 069 | Omega Rec: 0.677 | Anti Rec: 0.633 | A@0.55: 0.542 | Score: 0.3100 | LR: 0.000016 | No-improve: 13/25
Epoch 070 | Omega Rec: 0.677 | Anti Rec: 0.632 | A@0.55: 0.541 | Score: 0.3098 | LR: 0.000016 | No-improve: 14/25
Epoch 071 | Omega Rec: 0.678 | Anti Rec: 0.632 | A@0.55: 0.540 | Score: 0.3097 | LR: 0.000016 | No-improve: 15/25
Epoch 072 | Omega Rec: 0.676 | Anti Rec: 0.633 | A@0.55: 0.543 | Score: 0.3094 | LR: 0.000016 | No-improve: 16/25
Epoch 073 | Omega Rec: 0.676 | Anti Rec: 0.633 | A@0.55: 0.543 | Score: 0.3092 | LR: 0.000008 | No-improve: 17/25
Epoch 074 | Omega Rec: 0.676 | Anti Rec: 0.633 | A@0.55: 0.543 | Score: 0.3089 | LR: 0.000008 | No-improve: 18/25
Epoch 075 | Omega Rec: 0.677 | Anti Rec: 0.633 | A@0.55: 0.542 | Score: 0.3094 | LR: 0.000008 | No-improve: 19/25
Epoch 076 | Omega Rec: 0.676 | Anti Rec: 0.633 | A@0.55: 0.542 | Score: 0.3088 | LR: 0.000008 | No-improve: 20/25
Epoch 077 | Omega Rec: 0.678 | Anti Rec: 0.631 | A@0.55: 0.540 | Score: 0.3092 | LR: 0.000008 | No-improve: 21/25
Epoch 078 | Omega Rec: 0.676 | Anti Rec: 0.633 | A@0.55: 0.542 | Score: 0.3093 | LR: 0.000008 | No-improve: 22/25
Epoch 079 | Omega Rec: 0.677 | Anti Rec: 0.632 | A@0.55: 0.541 | Score: 0.3083 | LR: 0.000004 | No-improve: 23/25
Epoch 080 | Omega Rec: 0.678 | Anti Rec: 0.631 | A@0.55: 0.540 | Score: 0.3097 | LR: 0.000004 | No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Score: 0.3124 | Anti (argmax): 0.6354 | A@0.55: 0.5399  →  saved to models/omega_transformer.pth
Log saved to logs/train_run18.log
