Run 10 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: per-class-mean BCE, anti_weight=2.0, label_smooth_eps=0.05
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 001 | Omega Rec: 0.181 | Anti Rec: 0.928 | A@0.55: 0.786 | Score: 0.1083 | LR: 0.000500 | No-improve: 0/25
Epoch 002 | Omega Rec: 0.257 | Anti Rec: 0.892 | A@0.55: 0.783 | Score: 0.1485 | LR: 0.000500 | No-improve: 0/25
Epoch 003 | Omega Rec: 0.279 | Anti Rec: 0.884 | A@0.55: 0.790 | Score: 0.1631 | LR: 0.000500 | No-improve: 0/25
Epoch 004 | Omega Rec: 0.278 | Anti Rec: 0.888 | A@0.55: 0.799 | Score: 0.1659 | LR: 0.000500 | No-improve: 0/25
Epoch 005 | Omega Rec: 0.280 | Anti Rec: 0.889 | A@0.55: 0.803 | Score: 0.1689 | LR: 0.000500 | No-improve: 0/25
Epoch 006 | Omega Rec: 0.277 | Anti Rec: 0.891 | A@0.55: 0.809 | Score: 0.1680 | LR: 0.000500 | No-improve: 0/25
Epoch 007 | Omega Rec: 0.278 | Anti Rec: 0.892 | A@0.55: 0.812 | Score: 0.1703 | LR: 0.000500 | No-improve: 1/25
Epoch 008 | Omega Rec: 0.285 | Anti Rec: 0.889 | A@0.55: 0.813 | Score: 0.1740 | LR: 0.000500 | No-improve: 0/25
Epoch 009 | Omega Rec: 0.284 | Anti Rec: 0.891 | A@0.55: 0.816 | Score: 0.1757 | LR: 0.000500 | No-improve: 0/25
Epoch 010 | Omega Rec: 0.292 | Anti Rec: 0.887 | A@0.55: 0.811 | Score: 0.1786 | LR: 0.000500 | No-improve: 0/25
Epoch 011 | Omega Rec: 0.298 | Anti Rec: 0.885 | A@0.55: 0.810 | Score: 0.1823 | LR: 0.000500 | No-improve: 0/25
Epoch 012 | Omega Rec: 0.300 | Anti Rec: 0.885 | A@0.55: 0.809 | Score: 0.1843 | LR: 0.000500 | No-improve: 0/25
Epoch 013 | Omega Rec: 0.306 | Anti Rec: 0.882 | A@0.55: 0.809 | Score: 0.1884 | LR: 0.000500 | No-improve: 0/25
Epoch 014 | Omega Rec: 0.303 | Anti Rec: 0.884 | A@0.55: 0.810 | Score: 0.1871 | LR: 0.000500 | No-improve: 0/25
Epoch 015 | Omega Rec: 0.304 | Anti Rec: 0.883 | A@0.55: 0.811 | Score: 0.1872 | LR: 0.000500 | No-improve: 1/25
Epoch 016 | Omega Rec: 0.309 | Anti Rec: 0.882 | A@0.55: 0.808 | Score: 0.1910 | LR: 0.000500 | No-improve: 2/25
Epoch 017 | Omega Rec: 0.310 | Anti Rec: 0.882 | A@0.55: 0.809 | Score: 0.1926 | LR: 0.000500 | No-improve: 0/25
Epoch 018 | Omega Rec: 0.309 | Anti Rec: 0.883 | A@0.55: 0.809 | Score: 0.1921 | LR: 0.000500 | No-improve: 0/25
Epoch 019 | Omega Rec: 0.317 | Anti Rec: 0.879 | A@0.55: 0.806 | Score: 0.1955 | LR: 0.000500 | No-improve: 1/25
Epoch 020 | Omega Rec: 0.319 | Anti Rec: 0.879 | A@0.55: 0.805 | Score: 0.1976 | LR: 0.000500 | No-improve: 0/25
Epoch 021 | Omega Rec: 0.326 | Anti Rec: 0.875 | A@0.55: 0.801 | Score: 0.2012 | LR: 0.000500 | No-improve: 0/25
Epoch 022 | Omega Rec: 0.331 | Anti Rec: 0.873 | A@0.55: 0.800 | Score: 0.2043 | LR: 0.000500 | No-improve: 0/25
Epoch 023 | Omega Rec: 0.328 | Anti Rec: 0.875 | A@0.55: 0.802 | Score: 0.2026 | LR: 0.000500 | No-improve: 0/25
Epoch 024 | Omega Rec: 0.321 | Anti Rec: 0.879 | A@0.55: 0.808 | Score: 0.2004 | LR: 0.000500 | No-improve: 1/25
Epoch 025 | Omega Rec: 0.324 | Anti Rec: 0.879 | A@0.55: 0.805 | Score: 0.2028 | LR: 0.000500 | No-improve: 2/25
Epoch 026 | Omega Rec: 0.331 | Anti Rec: 0.876 | A@0.55: 0.803 | Score: 0.2063 | LR: 0.000500 | No-improve: 3/25
Epoch 027 | Omega Rec: 0.342 | Anti Rec: 0.869 | A@0.55: 0.798 | Score: 0.2109 | LR: 0.000500 | No-improve: 0/25
Epoch 028 | Omega Rec: 0.343 | Anti Rec: 0.869 | A@0.55: 0.798 | Score: 0.2114 | LR: 0.000500 | No-improve: 0/25
Epoch 029 | Omega Rec: 0.349 | Anti Rec: 0.866 | A@0.55: 0.795 | Score: 0.2151 | LR: 0.000500 | No-improve: 0/25
Epoch 030 | Omega Rec: 0.344 | Anti Rec: 0.870 | A@0.55: 0.797 | Score: 0.2141 | LR: 0.000500 | No-improve: 0/25
Epoch 031 | Omega Rec: 0.343 | Anti Rec: 0.870 | A@0.55: 0.799 | Score: 0.2124 | LR: 0.000500 | No-improve: 1/25
Epoch 032 | Omega Rec: 0.343 | Anti Rec: 0.870 | A@0.55: 0.798 | Score: 0.2129 | LR: 0.000500 | No-improve: 2/25
Epoch 033 | Omega Rec: 0.343 | Anti Rec: 0.870 | A@0.55: 0.797 | Score: 0.2139 | LR: 0.000500 | No-improve: 3/25
Epoch 034 | Omega Rec: 0.346 | Anti Rec: 0.870 | A@0.55: 0.799 | Score: 0.2157 | LR: 0.000500 | No-improve: 4/25
Epoch 035 | Omega Rec: 0.349 | Anti Rec: 0.868 | A@0.55: 0.795 | Score: 0.2166 | LR: 0.000500 | No-improve: 0/25
Epoch 036 | Omega Rec: 0.353 | Anti Rec: 0.865 | A@0.55: 0.793 | Score: 0.2182 | LR: 0.000500 | No-improve: 0/25
Epoch 037 | Omega Rec: 0.358 | Anti Rec: 0.864 | A@0.55: 0.792 | Score: 0.2219 | LR: 0.000500 | No-improve: 0/25
Epoch 038 | Omega Rec: 0.354 | Anti Rec: 0.867 | A@0.55: 0.795 | Score: 0.2204 | LR: 0.000500 | No-improve: 0/25
Epoch 039 | Omega Rec: 0.354 | Anti Rec: 0.865 | A@0.55: 0.795 | Score: 0.2192 | LR: 0.000500 | No-improve: 1/25
Epoch 040 | Omega Rec: 0.355 | Anti Rec: 0.865 | A@0.55: 0.794 | Score: 0.2205 | LR: 0.000500 | No-improve: 2/25
Epoch 041 | Omega Rec: 0.363 | Anti Rec: 0.861 | A@0.55: 0.790 | Score: 0.2238 | LR: 0.000500 | No-improve: 3/25
Epoch 042 | Omega Rec: 0.363 | Anti Rec: 0.860 | A@0.55: 0.791 | Score: 0.2230 | LR: 0.000500 | No-improve: 0/25
Epoch 043 | Omega Rec: 0.363 | Anti Rec: 0.860 | A@0.55: 0.790 | Score: 0.2230 | LR: 0.000500 | No-improve: 1/25
Epoch 044 | Omega Rec: 0.365 | Anti Rec: 0.859 | A@0.55: 0.789 | Score: 0.2243 | LR: 0.000500 | No-improve: 2/25
Epoch 045 | Omega Rec: 0.367 | Anti Rec: 0.857 | A@0.55: 0.790 | Score: 0.2243 | LR: 0.000500 | No-improve: 0/25
Epoch 046 | Omega Rec: 0.371 | Anti Rec: 0.856 | A@0.55: 0.785 | Score: 0.2270 | LR: 0.000500 | No-improve: 0/25
Epoch 047 | Omega Rec: 0.372 | Anti Rec: 0.856 | A@0.55: 0.787 | Score: 0.2274 | LR: 0.000500 | No-improve: 0/25
Epoch 048 | Omega Rec: 0.370 | Anti Rec: 0.856 | A@0.55: 0.786 | Score: 0.2263 | LR: 0.000500 | No-improve: 0/25
Epoch 049 | Omega Rec: 0.369 | Anti Rec: 0.858 | A@0.55: 0.788 | Score: 0.2267 | LR: 0.000500 | No-improve: 1/25
Epoch 050 | Omega Rec: 0.368 | Anti Rec: 0.858 | A@0.55: 0.787 | Score: 0.2256 | LR: 0.000500 | No-improve: 2/25
Epoch 051 | Omega Rec: 0.370 | Anti Rec: 0.855 | A@0.55: 0.786 | Score: 0.2249 | LR: 0.000500 | No-improve: 3/25
Epoch 052 | Omega Rec: 0.372 | Anti Rec: 0.856 | A@0.55: 0.787 | Score: 0.2277 | LR: 0.000500 | No-improve: 4/25
Epoch 053 | Omega Rec: 0.367 | Anti Rec: 0.858 | A@0.55: 0.790 | Score: 0.2247 | LR: 0.000500 | No-improve: 0/25
Epoch 054 | Omega Rec: 0.373 | Anti Rec: 0.855 | A@0.55: 0.787 | Score: 0.2281 | LR: 0.000500 | No-improve: 1/25
Epoch 055 | Omega Rec: 0.379 | Anti Rec: 0.851 | A@0.55: 0.783 | Score: 0.2305 | LR: 0.000500 | No-improve: 0/25
Epoch 056 | Omega Rec: 0.381 | Anti Rec: 0.851 | A@0.55: 0.783 | Score: 0.2320 | LR: 0.000500 | No-improve: 0/25
Epoch 057 | Omega Rec: 0.378 | Anti Rec: 0.853 | A@0.55: 0.785 | Score: 0.2311 | LR: 0.000500 | No-improve: 0/25
Epoch 058 | Omega Rec: 0.376 | Anti Rec: 0.855 | A@0.55: 0.786 | Score: 0.2308 | LR: 0.000500 | No-improve: 1/25
Epoch 059 | Omega Rec: 0.379 | Anti Rec: 0.852 | A@0.55: 0.783 | Score: 0.2310 | LR: 0.000500 | No-improve: 2/25
Epoch 060 | Omega Rec: 0.378 | Anti Rec: 0.853 | A@0.55: 0.784 | Score: 0.2308 | LR: 0.000500 | No-improve: 3/25
Epoch 061 | Omega Rec: 0.385 | Anti Rec: 0.851 | A@0.55: 0.779 | Score: 0.2351 | LR: 0.000500 | No-improve: 4/25
Epoch 062 | Omega Rec: 0.384 | Anti Rec: 0.849 | A@0.55: 0.780 | Score: 0.2337 | LR: 0.000500 | No-improve: 0/25
Epoch 063 | Omega Rec: 0.385 | Anti Rec: 0.850 | A@0.55: 0.780 | Score: 0.2349 | LR: 0.000500 | No-improve: 1/25
Epoch 064 | Omega Rec: 0.385 | Anti Rec: 0.849 | A@0.55: 0.780 | Score: 0.2342 | LR: 0.000500 | No-improve: 2/25
Epoch 065 | Omega Rec: 0.387 | Anti Rec: 0.848 | A@0.55: 0.778 | Score: 0.2350 | LR: 0.000500 | No-improve: 3/25
Epoch 066 | Omega Rec: 0.390 | Anti Rec: 0.847 | A@0.55: 0.777 | Score: 0.2372 | LR: 0.000500 | No-improve: 4/25
Epoch 067 | Omega Rec: 0.392 | Anti Rec: 0.846 | A@0.55: 0.777 | Score: 0.2379 | LR: 0.000500 | No-improve: 0/25
Epoch 068 | Omega Rec: 0.387 | Anti Rec: 0.849 | A@0.55: 0.780 | Score: 0.2358 | LR: 0.000500 | No-improve: 0/25
Epoch 069 | Omega Rec: 0.391 | Anti Rec: 0.847 | A@0.55: 0.778 | Score: 0.2376 | LR: 0.000500 | No-improve: 1/25
Epoch 070 | Omega Rec: 0.390 | Anti Rec: 0.848 | A@0.55: 0.777 | Score: 0.2384 | LR: 0.000500 | No-improve: 2/25
Epoch 071 | Omega Rec: 0.391 | Anti Rec: 0.847 | A@0.55: 0.777 | Score: 0.2378 | LR: 0.000500 | No-improve: 0/25
Epoch 072 | Omega Rec: 0.391 | Anti Rec: 0.847 | A@0.55: 0.777 | Score: 0.2380 | LR: 0.000500 | No-improve: 1/25
Epoch 073 | Omega Rec: 0.391 | Anti Rec: 0.848 | A@0.55: 0.778 | Score: 0.2387 | LR: 0.000500 | No-improve: 2/25
Epoch 074 | Omega Rec: 0.387 | Anti Rec: 0.850 | A@0.55: 0.779 | Score: 0.2368 | LR: 0.000500 | No-improve: 0/25
Epoch 075 | Omega Rec: 0.387 | Anti Rec: 0.849 | A@0.55: 0.780 | Score: 0.2359 | LR: 0.000500 | No-improve: 1/25
Epoch 076 | Omega Rec: 0.393 | Anti Rec: 0.846 | A@0.55: 0.777 | Score: 0.2387 | LR: 0.000500 | No-improve: 2/25
Epoch 077 | Omega Rec: 0.394 | Anti Rec: 0.846 | A@0.55: 0.774 | Score: 0.2400 | LR: 0.000500 | No-improve: 0/25
Epoch 078 | Omega Rec: 0.393 | Anti Rec: 0.845 | A@0.55: 0.775 | Score: 0.2381 | LR: 0.000500 | No-improve: 0/25
Epoch 079 | Omega Rec: 0.391 | Anti Rec: 0.848 | A@0.55: 0.777 | Score: 0.2387 | LR: 0.000500 | No-improve: 1/25
Epoch 080 | Omega Rec: 0.387 | Anti Rec: 0.850 | A@0.55: 0.780 | Score: 0.2371 | LR: 0.000500 | No-improve: 2/25
Epoch 081 | Omega Rec: 0.392 | Anti Rec: 0.847 | A@0.55: 0.777 | Score: 0.2391 | LR: 0.000500 | No-improve: 3/25
Epoch 082 | Omega Rec: 0.395 | Anti Rec: 0.845 | A@0.55: 0.775 | Score: 0.2398 | LR: 0.000500 | No-improve: 4/25
Epoch 083 | Omega Rec: 0.400 | Anti Rec: 0.841 | A@0.55: 0.772 | Score: 0.2408 | LR: 0.000500 | No-improve: 5/25
Epoch 084 | Omega Rec: 0.402 | Anti Rec: 0.840 | A@0.55: 0.771 | Score: 0.2415 | LR: 0.000500 | No-improve: 0/25
Epoch 085 | Omega Rec: 0.398 | Anti Rec: 0.843 | A@0.55: 0.773 | Score: 0.2413 | LR: 0.000500 | No-improve: 0/25
Epoch 086 | Omega Rec: 0.394 | Anti Rec: 0.846 | A@0.55: 0.775 | Score: 0.2403 | LR: 0.000500 | No-improve: 1/25
Epoch 087 | Omega Rec: 0.398 | Anti Rec: 0.843 | A@0.55: 0.774 | Score: 0.2406 | LR: 0.000500 | No-improve: 2/25
Epoch 088 | Omega Rec: 0.401 | Anti Rec: 0.842 | A@0.55: 0.771 | Score: 0.2427 | LR: 0.000500 | No-improve: 3/25
Epoch 089 | Omega Rec: 0.405 | Anti Rec: 0.840 | A@0.55: 0.768 | Score: 0.2452 | LR: 0.000500 | No-improve: 0/25
Epoch 090 | Omega Rec: 0.405 | Anti Rec: 0.839 | A@0.55: 0.770 | Score: 0.2446 | LR: 0.000500 | No-improve: 0/25
