Run 11 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star'] | IN_CHANNELS=5 | D_MODEL=128
Dataset: 103751 Omega, 50081 Anti-Omega
Loss: per-class-mean BCE, anti_weight=2.0, label_smooth_eps=0.05
EMA decay: 0.999
Model parameters: 274,498
Starting training...

Epoch 041 | Omega Rec: 0.324 | Anti Rec: 0.888 | A@0.55: 0.820 | Score: 0.2122 | LR: 0.000250 | No-improve: 0/25
Epoch 042 | Omega Rec: 0.327 | Anti Rec: 0.886 | A@0.55: 0.820 | Score: 0.2136 | LR: 0.000250 | No-improve: 1/25
Epoch 043 | Omega Rec: 0.327 | Anti Rec: 0.886 | A@0.55: 0.820 | Score: 0.2132 | LR: 0.000250 | No-improve: 2/25
Epoch 044 | Omega Rec: 0.327 | Anti Rec: 0.885 | A@0.55: 0.819 | Score: 0.2124 | LR: 0.000250 | No-improve: 3/25
Epoch 045 | Omega Rec: 0.333 | Anti Rec: 0.881 | A@0.55: 0.814 | Score: 0.2143 | LR: 0.000250 | No-improve: 4/25
Epoch 046 | Omega Rec: 0.333 | Anti Rec: 0.883 | A@0.55: 0.817 | Score: 0.2160 | LR: 0.000250 | No-improve: 0/25
Epoch 047 | Omega Rec: 0.340 | Anti Rec: 0.879 | A@0.55: 0.814 | Score: 0.2190 | LR: 0.000250 | No-improve: 0/25
Epoch 048 | Omega Rec: 0.339 | Anti Rec: 0.879 | A@0.55: 0.814 | Score: 0.2183 | LR: 0.000250 | No-improve: 0/25
Epoch 049 | Omega Rec: 0.333 | Anti Rec: 0.883 | A@0.55: 0.818 | Score: 0.2156 | LR: 0.000250 | No-improve: 1/25
Epoch 050 | Omega Rec: 0.337 | Anti Rec: 0.881 | A@0.55: 0.815 | Score: 0.2174 | LR: 0.000250 | No-improve: 2/25
Epoch 051 | Omega Rec: 0.334 | Anti Rec: 0.882 | A@0.55: 0.816 | Score: 0.2160 | LR: 0.000250 | No-improve: 3/25
Epoch 052 | Omega Rec: 0.336 | Anti Rec: 0.880 | A@0.55: 0.816 | Score: 0.2164 | LR: 0.000250 | No-improve: 4/25
Epoch 053 | Omega Rec: 0.337 | Anti Rec: 0.881 | A@0.55: 0.816 | Score: 0.2178 | LR: 0.000125 | No-improve: 5/25
Epoch 054 | Omega Rec: 0.340 | Anti Rec: 0.880 | A@0.55: 0.816 | Score: 0.2204 | LR: 0.000125 | No-improve: 6/25
Epoch 055 | Omega Rec: 0.345 | Anti Rec: 0.878 | A@0.55: 0.814 | Score: 0.2229 | LR: 0.000125 | No-improve: 0/25
Epoch 056 | Omega Rec: 0.348 | Anti Rec: 0.875 | A@0.55: 0.812 | Score: 0.2238 | LR: 0.000125 | No-improve: 0/25
Epoch 057 | Omega Rec: 0.351 | Anti Rec: 0.874 | A@0.55: 0.809 | Score: 0.2247 | LR: 0.000125 | No-improve: 0/25
Epoch 058 | Omega Rec: 0.353 | Anti Rec: 0.874 | A@0.55: 0.808 | Score: 0.2264 | LR: 0.000125 | No-improve: 0/25
Epoch 059 | Omega Rec: 0.355 | Anti Rec: 0.872 | A@0.55: 0.805 | Score: 0.2269 | LR: 0.000125 | No-improve: 0/25
Epoch 060 | Omega Rec: 0.359 | Anti Rec: 0.870 | A@0.55: 0.805 | Score: 0.2292 | LR: 0.000125 | No-improve: 0/25
Epoch 061 | Omega Rec: 0.360 | Anti Rec: 0.871 | A@0.55: 0.805 | Score: 0.2311 | LR: 0.000125 | No-improve: 0/25
Epoch 062 | Omega Rec: 0.353 | Anti Rec: 0.873 | A@0.55: 0.809 | Score: 0.2261 | LR: 0.000125 | No-improve: 0/25
Epoch 063 | Omega Rec: 0.354 | Anti Rec: 0.874 | A@0.55: 0.809 | Score: 0.2276 | LR: 0.000125 | No-improve: 1/25
Epoch 064 | Omega Rec: 0.356 | Anti Rec: 0.872 | A@0.55: 0.807 | Score: 0.2281 | LR: 0.000125 | No-improve: 2/25
Epoch 065 | Omega Rec: 0.360 | Anti Rec: 0.869 | A@0.55: 0.803 | Score: 0.2293 | LR: 0.000125 | No-improve: 3/25
Epoch 066 | Omega Rec: 0.364 | Anti Rec: 0.867 | A@0.55: 0.803 | Score: 0.2309 | LR: 0.000125 | No-improve: 4/25
Epoch 067 | Omega Rec: 0.364 | Anti Rec: 0.868 | A@0.55: 0.804 | Score: 0.2319 | LR: 0.000125 | No-improve: 5/25
Epoch 068 | Omega Rec: 0.365 | Anti Rec: 0.868 | A@0.55: 0.802 | Score: 0.2327 | LR: 0.000125 | No-improve: 0/25
Epoch 069 | Omega Rec: 0.368 | Anti Rec: 0.867 | A@0.55: 0.800 | Score: 0.2343 | LR: 0.000125 | No-improve: 0/25
Epoch 070 | Omega Rec: 0.369 | Anti Rec: 0.866 | A@0.55: 0.800 | Score: 0.2350 | LR: 0.000125 | No-improve: 0/25
Epoch 071 | Omega Rec: 0.370 | Anti Rec: 0.864 | A@0.55: 0.799 | Score: 0.2341 | LR: 0.000125 | No-improve: 0/25
Epoch 072 | Omega Rec: 0.369 | Anti Rec: 0.865 | A@0.55: 0.801 | Score: 0.2334 | LR: 0.000125 | No-improve: 1/25
Epoch 073 | Omega Rec: 0.366 | Anti Rec: 0.866 | A@0.55: 0.801 | Score: 0.2325 | LR: 0.000125 | No-improve: 2/25
Epoch 074 | Omega Rec: 0.361 | Anti Rec: 0.869 | A@0.55: 0.807 | Score: 0.2298 | LR: 0.000125 | No-improve: 3/25
Epoch 075 | Omega Rec: 0.362 | Anti Rec: 0.868 | A@0.55: 0.806 | Score: 0.2298 | LR: 0.000125 | No-improve: 4/25
Epoch 076 | Omega Rec: 0.361 | Anti Rec: 0.868 | A@0.55: 0.806 | Score: 0.2294 | LR: 0.000063 | No-improve: 5/25
Epoch 077 | Omega Rec: 0.366 | Anti Rec: 0.866 | A@0.55: 0.803 | Score: 0.2316 | LR: 0.000063 | No-improve: 6/25
Epoch 078 | Omega Rec: 0.369 | Anti Rec: 0.865 | A@0.55: 0.802 | Score: 0.2344 | LR: 0.000063 | No-improve: 7/25
Epoch 079 | Omega Rec: 0.374 | Anti Rec: 0.862 | A@0.55: 0.800 | Score: 0.2358 | LR: 0.000063 | No-improve: 8/25
Epoch 080 | Omega Rec: 0.370 | Anti Rec: 0.864 | A@0.55: 0.802 | Score: 0.2343 | LR: 0.000063 | No-improve: 0/25
