GRL Run 5 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=0.05 | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 278,915 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

Starting GRL training...

Epoch 001 | α=0.000 λ=0.0000 | cls=1.0227 adv=7.2725 | O@A=0.90: 0.563 (t=0.15, A=0.900) | Argmax: O=0.965 A=0.327 Score=0.2915 | LR: 0.000500 | No-improve: 0/25
Epoch 043 | α=0.639 λ=0.0500 | cls=0.9126 adv=0.0206 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.693 Score=0.5388 | LR: 0.000063 | No-improve: 14/25
Epoch 044 | α=0.655 λ=0.0500 | cls=0.9113 adv=0.0208 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.694 Score=0.5388 | LR: 0.000063 | No-improve: 15/25
Epoch 045 | α=0.670 λ=0.0500 | cls=0.9133 adv=0.0210 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.692 Score=0.5379 | LR: 0.000063 | No-improve: 16/25
Epoch 046 | α=0.685 λ=0.0500 | cls=0.9133 adv=0.0210 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.692 Score=0.5378 | LR: 0.000031 | No-improve: 17/25
Epoch 047 | α=0.699 λ=0.0500 | cls=0.9121 adv=0.0209 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.845 A=0.693 Score=0.5383 | LR: 0.000031 | No-improve: 18/25
Epoch 048 | α=0.712 λ=0.0500 | cls=0.9119 adv=0.0210 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.846 A=0.693 Score=0.5387 | LR: 0.000031 | No-improve: 19/25
Epoch 049 | α=0.725 λ=0.0500 | cls=0.9117 adv=0.0210 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.697 Score=0.5403 | LR: 0.000031 | No-improve: 20/25
Epoch 050 | α=0.738 λ=0.0500 | cls=0.9124 adv=0.0209 | O@A=0.90: 0.631 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.698 Score=0.5410 | LR: 0.000031 | No-improve: 21/25
Epoch 051 | α=0.750 λ=0.0500 | cls=0.9112 adv=0.0213 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.843 A=0.697 Score=0.5400 | LR: 0.000031 | No-improve: 22/25
Epoch 052 | α=0.762 λ=0.0500 | cls=0.9114 adv=0.0211 | O@A=0.90: 0.629 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.695 Score=0.5397 | LR: 0.000016 | No-improve: 23/25
Epoch 053 | α=0.773 λ=0.0500 | cls=0.9112 adv=0.0214 | O@A=0.90: 0.630 (t=0.22, A=0.900) | Argmax: O=0.844 A=0.695 Score=0.5392 | LR: 0.000016 | No-improve: 24/25

Early stopping: no improvement for 25 epochs.

Best Omega recall @ Anti=0.90: 0.6320  →  saved to models/omega_grl_unpadded.pth
Log saved to logs/grl_unpadded_run5.log
