GRL Run 8 | features=['k_star', 'd_y', 'd_phi', 'cos_theta_star', 'd_y_signed'] | IN_CHANNELS=5 | target Anti recall=0.90
Dataset: 110758 Omega, 52931 Anti-Omega
ADV_LAMBDA=2.0 | GRL_N_BINS=5 (within-class) | GRL_ALPHA_MAX=1.0 | pretrain=15 epochs | sigmoidal schedule
OmegaTransformerGRL: 279,047 parameters
Pre-train phase: 15 epochs (alpha=0, classifier only)

── Baseline multiplicity debiasing check (random init) ──
Multiplicity debiasing probe: acc=0.3235 (chance=0.2000) → NOT debiased

Starting GRL training...

Epoch 025 | α=0.264 λ=2.0000 | cls=0.9642 adv=1.5798/1.6094 | O@A=0.90: 0.561 (t=0.22, A=0.900) | Argmax: O=0.828 A=0.650 Score=0.4774 | LR: 0.000250 | [CONSTRAINED] No-improve: 1/25
Epoch 026 | α=0.289 λ=2.0000 | cls=0.9719 adv=1.6475/1.6094 | O@A=0.90: 0.595 (t=0.16, A=0.900) | Argmax: O=0.885 A=0.587 Score=0.4713 | LR: 0.000250 | [CONSTRAINED] No-improve: 0/25
Epoch 027 | α=0.313 λ=2.0000 | cls=0.9653 adv=1.6533/1.6094 | O@A=0.90: 0.562 (t=0.33, A=0.900) | Argmax: O=0.867 A=0.573 Score=0.4397 | LR: 0.000250 | [CONSTRAINED] No-improve: 0/25
Epoch 028 | α=0.338 λ=2.0000 | cls=0.9661 adv=1.6237/1.6094 | O@A=0.90: 0.569 (t=0.08, A=0.900) | Argmax: O=0.882 A=0.603 Score=0.4853 | LR: 0.000125 | [CONSTRAINED] No-improve: 1/25
Epoch 029 | α=0.361 λ=2.0000 | cls=0.9518 adv=1.5757/1.6094 | O@A=0.90: 0.595 (t=0.12, A=0.900) | Argmax: O=0.884 A=0.611 Score=0.4949 | LR: 0.000125 | [CONSTRAINED] No-improve: 2/25
Epoch 030 | α=0.385 λ=2.0000 | cls=0.9550 adv=1.6108/1.6094 | O@A=0.90: 0.387 (t=0.29, A=0.900) | Argmax: O=0.753 A=0.712 Score=0.4654 | LR: 0.000125 | [CONSTRAINED] No-improve: 0/25
Epoch 031 | α=0.407 λ=2.0000 | cls=0.9521 adv=1.5988/1.6094 | O@A=0.90: 0.412 (t=0.18, A=0.900) | Argmax: O=0.892 A=0.588 Score=0.4801 | LR: 0.000125 | [CONSTRAINED] No-improve: 1/25
Epoch 032 | α=0.430 λ=2.0000 | cls=0.9499 adv=1.5855/1.6094 | O@A=0.90: 0.620 (t=0.17, A=0.900) | Argmax: O=0.892 A=0.598 Score=0.4906 | LR: 0.000125 | [CONSTRAINED] No-improve: 2/25
Epoch 033 | α=0.451 λ=2.0000 | cls=0.9542 adv=1.6051/1.6094 | O@A=0.90: 0.616 (t=0.26, A=0.900) | Argmax: O=0.940 A=0.450 Score=0.3900 | LR: 0.000125 | [CONSTRAINED] No-improve: 0/25
Epoch 034 | α=0.473 λ=2.0000 | cls=0.9467 adv=1.5700/1.6094 | O@A=0.90: 0.445 (t=0.24, A=0.900) | Argmax: O=0.913 A=0.548 Score=0.4604 | LR: 0.000063 | [CONSTRAINED] No-improve: 1/25
Epoch 035 | α=0.493 λ=2.0000 | cls=0.9450 adv=1.5921/1.6094 | O@A=0.90: 0.476 (t=0.18, A=0.900) | Argmax: O=0.900 A=0.578 Score=0.4776 | LR: 0.000063 | [CONSTRAINED] No-improve: 2/25
Epoch 036 | α=0.514 λ=2.0000 | cls=0.9512 adv=1.5846/1.6094 | O@A=0.90: 0.621 (t=0.15, A=0.899) | Argmax: O=0.897 A=0.588 Score=0.4846 | LR: 0.000063 | [CONSTRAINED] No-improve: 3/25
Epoch 037 | α=0.533 λ=2.0000 | cls=0.9522 adv=1.6096/1.6094 | O@A=0.90: 0.424 (t=0.22, A=0.899) | Argmax: O=0.836 A=0.643 Score=0.4788 | LR: 0.000063 | [CONSTRAINED] No-improve: 0/25
Epoch 038 | α=0.552 λ=2.0000 | cls=0.9438 adv=1.5866/1.6094 | O@A=0.90: 0.615 (t=0.26, A=0.900) | Argmax: O=0.845 A=0.691 Score=0.5359 | LR: 0.000063 | [CONSTRAINED] No-improve: 1/25
Epoch 039 | α=0.571 λ=2.0000 | cls=0.9465 adv=1.6004/1.6094 | O@A=0.90: 0.593 (t=0.16, A=0.900) | Argmax: O=0.876 A=0.632 Score=0.5076 | LR: 0.000063 | [CONSTRAINED] No-improve: 2/25
