GRL Run 2 | features=['f_pt', 'k_star', 'd_y', 'd_phi', 'cos_theta_star', 'o_cos_psi1', 'o_cos2_psi2', 'f_cos_psi1', 'f_cos2_psi2'] | IN_CHANNELS=9
Dataset: 110758 Omega, 52934 Anti-Omega
ADV_LAMBDA=0.1 | GRL_ALPHA_MAX=1.0 | warmup=30 epochs
OmegaTransformerGRL: 279,427 parameters
Starting GRL training...

Epoch 030 | α=1.000 | cls=1.2458 adv=0.0766 | Omega Rec: 0.671 | Anti Rec: 0.630 | A@0.55: 0.533 | Score: 0.3007 | LR: 0.000250 | No-improve: 0/25
Epoch 031 | α=1.000 | cls=1.2458 adv=0.0762 | Omega Rec: 0.668 | Anti Rec: 0.632 | A@0.55: 0.537 | Score: 0.3005 | LR: 0.000250 | No-improve: 1/25
Epoch 032 | α=1.000 | cls=1.2458 adv=0.0763 | Omega Rec: 0.668 | Anti Rec: 0.634 | A@0.55: 0.537 | Score: 0.3020 | LR: 0.000250 | No-improve: 2/25
Epoch 033 | α=1.000 | cls=1.2455 adv=0.0760 | Omega Rec: 0.668 | Anti Rec: 0.635 | A@0.55: 0.537 | Score: 0.3034 | LR: 0.000250 | No-improve: 0/25
Epoch 034 | α=1.000 | cls=1.2444 adv=0.0760 | Omega Rec: 0.668 | Anti Rec: 0.635 | A@0.55: 0.538 | Score: 0.3030 | LR: 0.000250 | No-improve: 0/25
Epoch 035 | α=1.000 | cls=1.2456 adv=0.0759 | Omega Rec: 0.669 | Anti Rec: 0.636 | A@0.55: 0.537 | Score: 0.3045 | LR: 0.000250 | No-improve: 1/25
Epoch 036 | α=1.000 | cls=1.2444 adv=0.0757 | Omega Rec: 0.667 | Anti Rec: 0.637 | A@0.55: 0.539 | Score: 0.3035 | LR: 0.000250 | No-improve: 0/25
Epoch 037 | α=1.000 | cls=1.2443 adv=0.0759 | Omega Rec: 0.668 | Anti Rec: 0.635 | A@0.55: 0.541 | Score: 0.3031 | LR: 0.000250 | No-improve: 1/25
Epoch 038 | α=1.000 | cls=nan adv=0.0757 | Omega Rec: 0.669 | Anti Rec: 0.635 | A@0.55: 0.537 | Score: 0.3036 | LR: 0.000250 | No-improve: 2/25
Epoch 039 | α=1.000 | cls=1.2429 adv=0.0757 | Omega Rec: 0.671 | Anti Rec: 0.633 | A@0.55: 0.535 | Score: 0.3046 | LR: 0.000250 | No-improve: 3/25
Epoch 040 | α=1.000 | cls=1.2447 adv=0.0760 | Omega Rec: 0.672 | Anti Rec: 0.632 | A@0.55: 0.533 | Score: 0.3039 | LR: 0.000250 | No-improve: 0/25
Epoch 041 | α=1.000 | cls=1.2423 adv=0.0757 | Omega Rec: 0.675 | Anti Rec: 0.631 | A@0.55: 0.534 | Score: 0.3059 | LR: 0.000250 | No-improve: 1/25
Epoch 042 | α=1.000 | cls=1.2427 adv=0.0754 | Omega Rec: 0.672 | Anti Rec: 0.633 | A@0.55: 0.536 | Score: 0.3051 | LR: 0.000250 | No-improve: 0/25
Epoch 043 | α=1.000 | cls=1.2417 adv=0.0755 | Omega Rec: 0.675 | Anti Rec: 0.630 | A@0.55: 0.535 | Score: 0.3055 | LR: 0.000250 | No-improve: 1/25
Epoch 044 | α=1.000 | cls=1.2419 adv=0.0753 | Omega Rec: 0.674 | Anti Rec: 0.629 | A@0.55: 0.537 | Score: 0.3034 | LR: 0.000250 | No-improve: 2/25
Epoch 045 | α=1.000 | cls=1.2429 adv=0.0754 | Omega Rec: 0.675 | Anti Rec: 0.629 | A@0.55: 0.536 | Score: 0.3043 | LR: 0.000250 | No-improve: 3/25
Epoch 046 | α=1.000 | cls=1.2413 adv=0.0754 | Omega Rec: 0.677 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3043 | LR: 0.000250 | No-improve: 4/25
Epoch 047 | α=1.000 | cls=1.2423 adv=0.0753 | Omega Rec: 0.675 | Anti Rec: 0.630 | A@0.55: 0.534 | Score: 0.3054 | LR: 0.000125 | No-improve: 5/25
Epoch 048 | α=1.000 | cls=1.2369 adv=0.0750 | Omega Rec: 0.676 | Anti Rec: 0.632 | A@0.55: 0.536 | Score: 0.3073 | LR: 0.000125 | No-improve: 6/25
Epoch 049 | α=1.000 | cls=1.2373 adv=0.0751 | Omega Rec: 0.677 | Anti Rec: 0.630 | A@0.55: 0.535 | Score: 0.3069 | LR: 0.000125 | No-improve: 0/25
Epoch 050 | α=1.000 | cls=1.2356 adv=0.0747 | Omega Rec: 0.675 | Anti Rec: 0.630 | A@0.55: 0.537 | Score: 0.3052 | LR: 0.000125 | No-improve: 1/25
Epoch 051 | α=1.000 | cls=1.2354 adv=0.0750 | Omega Rec: 0.676 | Anti Rec: 0.632 | A@0.55: 0.537 | Score: 0.3075 | LR: 0.000125 | No-improve: 2/25
Epoch 052 | α=1.000 | cls=1.2359 adv=0.0746 | Omega Rec: 0.678 | Anti Rec: 0.628 | A@0.55: 0.535 | Score: 0.3057 | LR: 0.000125 | No-improve: 0/25
Epoch 053 | α=1.000 | cls=1.2349 adv=0.0747 | Omega Rec: 0.677 | Anti Rec: 0.629 | A@0.55: 0.536 | Score: 0.3064 | LR: 0.000125 | No-improve: 1/25
Epoch 054 | α=1.000 | cls=1.2356 adv=0.0748 | Omega Rec: 0.677 | Anti Rec: 0.630 | A@0.55: 0.536 | Score: 0.3065 | LR: 0.000125 | No-improve: 2/25
Epoch 055 | α=1.000 | cls=1.2347 adv=0.0748 | Omega Rec: 0.678 | Anti Rec: 0.628 | A@0.55: 0.532 | Score: 0.3064 | LR: 0.000125 | No-improve: 3/25
Epoch 056 | α=1.000 | cls=1.2365 adv=0.0747 | Omega Rec: 0.679 | Anti Rec: 0.628 | A@0.55: 0.535 | Score: 0.3065 | LR: 0.000125 | No-improve: 4/25
Epoch 057 | α=1.000 | cls=1.2347 adv=0.0749 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.535 | Score: 0.3069 | LR: 0.000063 | No-improve: 5/25
Epoch 058 | α=1.000 | cls=1.2318 adv=0.0745 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3057 | LR: 0.000063 | No-improve: 6/25
Epoch 059 | α=1.000 | cls=1.2307 adv=0.0741 | Omega Rec: 0.680 | Anti Rec: 0.626 | A@0.55: 0.534 | Score: 0.3060 | LR: 0.000063 | No-improve: 7/25
Epoch 060 | α=1.000 | cls=1.2306 adv=0.0742 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3058 | LR: 0.000063 | No-improve: 8/25
Epoch 061 | α=1.000 | cls=1.2318 adv=0.0743 | Omega Rec: 0.680 | Anti Rec: 0.627 | A@0.55: 0.533 | Score: 0.3070 | LR: 0.000063 | No-improve: 9/25
Epoch 062 | α=1.000 | cls=1.2311 adv=0.0741 | Omega Rec: 0.679 | Anti Rec: 0.627 | A@0.55: 0.532 | Score: 0.3059 | LR: 0.000063 | No-improve: 10/25
